DESTINO;ORIGEN;CANTI;FOBDOL;FOBPES
BOL;BOG;7;32,76;131205,76
BOL;BOG;2407;5417,58;21645025,04
BOL;BOG;633;2565,03;10223809,71
BOL;BOG;916;1883,95;7528197,87
BOL;BOG;14;157,08;624682,02
BOL;BOG;5;48,8;195446,92
BOL;BOG;93;592,8;2360675,97
BOL;BOG;5;15,85;63480,2
BOL;BOG;178;1590,77;6356353,86
BOL;BOG;6;28,92;115826,33
BOL;BOG;416;1868,99;7474173,95
BOL;BOG;50;110,5;442559,13
BOL;BOG;42;206,02;820430,59
BOL;BOG;7;36,33;144478,59
BOL;BOG;20;79,9;320004,29
BOL;BOG;354;1408,67;5622086,88
BOL;BOG;55,04;5042,32;20239075,13
BOL;BOG;4048;10;40050,6
BOL;BOG;1025,98;51936,66;213682480,9
BOL;BOG;108,82;11032,26;45389916,99
BOL;BOG;5;26,95;108802,27
BOL;BOG;54;360,29;1458819,84
BOL;BOG;42;236,58;964199,4
